tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
63697,3389,2,1,1024,0,1,1,1
63697,25,2,1,1024,0,1,1,2
63697,139,2,1,1024,0,1,1,3
63697,23,2,1,1024,0,1,1,4
63697,111,2,1,1024,0,1,1,5
63697,1723,2,1,1024,0,1,1,6
63697,113,2,1,1024,0,1,1,7
63697,8080,2,1,1024,0,1,1,8
63697,135,2,1,1024,0,1,1,9
63697,199,2,1,1024,0,1,1,10
63697,8888,2,1,1024,0,1,1,11
63697,110,2,1,1024,0,1,1,12
63697,143,2,1,1024,0,1,1,13
63697,3306,2,1,1024,0,1,1,14
63697,5900,2,1,1024,0,1,1,15
63697,53,2,1,1024,0,1,1,16
63697,445,2,1,1024,0,1,1,17
63697,1025,2,1,1024,0,1,1,18
63697,1720,2,1,1024,0,1,1,19
63697,993,2,1,1024,0,1,1,20
63697,554,2,1,1024,0,1,1,21
63697,443,2,1,1024,0,1,1,22
63697,587,2,1,1024,0,1,1,23
63697,995,2,1,1024,0,1,1,24
63697,80,2,1,1024,0,1,1,25
63697,22,2,1,1024,0,1,1,26
63697,21,2,1,1024,0,1,1,27
63697,179,2,1,1024,0,1,1,28
63697,990,2,1,1024,0,1,1,29
63697,1026,2,1,1024,0,1,1,30
63697,144,2,1,1024,0,1,1,31
63697,3000,2,1,1024,0,1,1,32
63697,543,2,1,1024,0,1,1,33
63697,49155,2,1,1024,0,1,1,34
63697,548,2,1,1024,0,1,1,35
63697,2121,2,1,1024,0,1,1,36
63697,6001,2,1,1024,0,1,1,37
63697,8000,2,1,1024,0,1,1,38
63697,2717,2,1,1024,0,1,1,39
63697,1755,2,1,1024,0,1,1,40
63697,8443,2,1,1024,0,1,1,41
63697,5190,2,1,1024,0,1,1,42
63697,5800,2,1,1024,0,1,1,43
63697,1029,2,1,1024,0,1,1,44
63697,4899,2,1,1024,0,1,1,45
63697,9100,2,1,1024,0,1,1,46
63697,13,2,1,1024,0,1,1,47
63697,513,2,1,1024,0,1,1,48
63697,3128,2,1,1024,0,1,1,49
63697,389,2,1,1024,0,1,1,50
63697,465,2,1,1024,0,1,1,51
63697,1028,2,1,1024,0,1,1,52
63697,49157,2,1,1024,0,1,1,53
63697,5051,2,1,1024,0,1,1,54
63697,7070,2,1,1024,0,1,1,55
63697,2000,2,1,1024,0,1,1,56
63697,81,2,1,1024,0,1,1,57
63697,514,2,1,1024,0,1,1,58
63697,26,2,1,1024,0,1,1,59
63697,32768,2,1,1024,0,1,1,60
63697,515,2,1,1024,0,1,1,61
63697,5009,2,1,1024,0,1,1,62
44778,7,2,1,31337,1,0,1,63
44779,7,16,2,32768,1,0,1,64
44780,7,41,10,65535,1,0,1,65
45034,7,2,1,31337,1,0,1,66
45035,7,16,2,32768,1,0,1,67
45036,7,41,10,65535,1,0,1,68
